s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,s_64,s_65,s_66,s_67,s_68,s_69,s_70,s_71,s_72,s_73,s_74,s_75,s_76,s_77,s_78,s_79,s_80,s_81,s_82,s_83,s_84,s_85,s_86,s_87,s_88,s_89,s_90,s_91,s_92,s_93,s_94,s_95,s_96,s_97,s_98,s_99,target
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,778,128,74,12,630,163,15,4,1766,2,1051,2,32,85,156,45,40,148,139,121,664,665,10,10,1361,173,4,749,2,16,3804,8,4,226,65,12,43,127,24,2,10,10,0
0,1,54,13,1610,14,20,13,69,55,364,1398,21,54,13,219,12,13,1706,15,4,20,16,329,6,176,329,74,51,13,873,4,156,71,78,4,2,322,16,31,7,4,249,4,65,16,38,379,12,100,157,18,6,910,20,549,18,4,1496,21,14,31,9,24,6,212,12,9,6,1322,991,7,3002,4,425,9,73,2218,549,18,31,155,36,100,763,379,20,103,351,2,13,202,12,2241,5,6,320,46,7,457,0
0,0,0,0,0,0,0,1,4,204,2,20,16,93,11,2,19,2,4390,6,55,52,22,849,4227,119,7,2,961,178,6,1018,221,20,1184,2,2,29,7,265,16,530,17,29,220,210,468,8,30,11,32,7,27,102,2,3634,17,3278,1881,16,6,2,7,1262,190,4,20,122,2353,8,79,6,117,196,11,1370,12,127,24,847,33,4,1062,7,4,2,310,131,12,9,6,253,20,15,144,30,110,33,222,280,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,806,13,43,161,169,4,875,551,17,1444,17,4,1723,122,4,2362,232,5,4,2,4096,232,71,184,221,261,4849,161,66,376,178,76,44,98,4,85,107,4046,71,6,2696,5,4,424,2,200,98,161,1070,56,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,568,65,9,4689,31,7,4,118,495,34,4,1300,7,206,309,1079,8,85,206,108,568,65,166,2,5,2,168,40,2,4,3410,139,26,73,2,5,4,206,139,26,897,48,162,347,438,47,101,281,36,62,766,14,11,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,296,4,20,11,6,4435,5,13,66,447,12,4,177,9,321,5,4,114,9,518,427,642,160,2468,7,4,20,9,407,4,228,63,2363,80,30,626,515,13,386,12,8,316,37,1232,4,698,1285,5,262,8,32,2,140,5,67,45,87,1
0,0,0,0,0,1,435,8,67,14,17,72,5,61,761,69,117,334,8,81,23,6,2710,2655,13,40,108,15,855,19,2928,3358,105,5,14,9,368,7,2,103,6,550,380,75,79,49,52,505,39,4,177,21,12,9,4,779,2,15,199,166,5,1625,4,22,180,4,2,9,31,7,4,1529,139,13,28,110,11,6,22,18,6,196,137,21,9,99,346,5,100,28,93,14,6,991,444,2,241,46,7,158,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1126,282,13,69,8,67,14,20,16,15,12,381,2787,2,35,1339,5,32,99,2,524,58,2106,102,633,92,602,72,5,1082,81,102,44,2,21,14,20,16,1429,5,948,12,161,2,23,3599,318,302,5,12,161,1152,38,2699,23,4,58,2106,15,4,529,214,416,5,1471,14,16,6,66,1518,20,828,606,5,2462,19,87,116,34,32,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,6,20,19,6,114,40,14,13,62,1760,2,2,11,4,86,747,234,5,471,12,125,21,14,16,55,73,93,19,921,2,87,116,5,49,2070,163,388,12,16,82,221,8,67,6,275,1181,6,2,31,33,15,61,322,5,13,199,2,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,22,9,2,17,6,1096,731,212,12,9,1082,1096,885,731,5,12,9,407,24,35,1134,212,4,2,7,4,73,1217,246,1235,109,827,2,39,31,576,2268,1690,8,160,4,64,1907,2,26,4,3275,239,34,2,2,5,4,2,19,63,75,3132,2,2211,393,444,8,30,4248,0
0,0,0,0,0,0,0,0,0,1,6,2211,866,13,873,6,1037,2,367,4,347,4,741,790,2697,945,693,2,470,262,18,141,35,2,22,382,198,4,282,38,171,2,7,14,162,552,7,2,2396,1096,414,305,7,2,31,2433,542,978,3666,305,7,4464,3363,2,2118,5,54,4,1313,385,25,66,2,18,12,2,1017,35,2,2,789,245,14,9,31,18,4,53,1089,206,451,12,161,60,1414,72,2,1482,38,117,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,201,7,3153,2,995,248,287,2,2,1936,5,3758,6,176,444,13,81,66,40,14,20,472,6,378,7,4,3309,26,484,357,6,171,66,87,2974,97,56,18,14,6,2,8,141,2239,40,2,2,20,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,7,14,22,26,4,2,997,139,427,1048,2554,1102,5,1647,498,123,125,6,283,308,2,991,4,65,4833,8,30,6,227,1269,151,21,12,115,2,4,3981,2444,7,2,1647,498,206,48,25,26,83,1647,498,102,25,26,170,8,119,14,31,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,307,5,1301,20,1026,2511,87,2775,52,116,5,31,7,4,91,1220,102,13,28,110,11,6,137,13,115,219,141,35,221,956,54,13,16,11,2714,61,322,423,12,38,76,59,1803,72,8,2,23,5,967,12,38,85,62,358,99,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,3577,22,820,219,4,641,7,251,11,2,12,272,5,934,17,48,12,69,77,1055,891,42,1088,153,908,5,944,49,7,4,249,690,126,1926,11,6,678,1270,431,13,2,18,4,846,5,476,37,1539,350,2863,8,67,14,0
0,0,0,0,0,0,0,0,1,1945,6,2530,65,2,39,4,1081,114,3221,455,2,823,2530,2,46,455,2530,461,6,2,11,4,1773,4,927,820,26,115,502,8,1014,4,489,5,602,7,91,2040,672,14,390,2,11,4,1572,5,4,959,9,6,678,4060,10,10,62,25,264,2530,115,1590,4,1019,2449,4,55,130,10,10,2035,13,16,2,8,471,12,125,44,107,2,143,10,10,449,4,2,75,532,2,1989,97,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,9,6,389,20,19,6,253,1096,65,5,4,2,7,1181,3855,5,4,620,756,7,803,674,11,113,97,14,6,55,467,2525,20,92,387,4,2,7,4,182,2,25,39,319,14,2065,47,389,388,5,13,594,33,4,192,15,212,9,115,2525,88,156,40,2065,97,170,39,486,8,622,1801,168,2,776,87,20,32,187,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,20,9,331,389,45,188,12,32,2129,2,936,4603,882,32,11,6,606,246,1596,65,40,113,25,528,79,2,18,6,333,10,10,158,158,10,10,1657,590,1843,376,363,25,359,6,52,65,8,97,6,52,20,5,50,26,38,111,52,537,46,50,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,972,39,4,644,2118,7,4,2,2,2,17,4,2,568,1255,718,1080,2,17,4,2,1122,5,7,265,592,848,17,4,1619,3107,14,22,9,4,87,736,7,6,588,11,6,2897,673,18,35,402,2,22,14,1491,34,1491,2,7,4,2,7,4,736,9,729,8,4,2530,201,549,11,14,22,25,92,28,4,3079,7,1275,37,4,455,16,11,4263,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,22,214,61,2,7,2,4,136,11,4,4559,3898,116,209,414,14,9,31,7,4,91,221,5,955,139,11,4,479,7,22,2,109,1868,9,55,73,1391,5,41,239,9,421,469,4,436,22,4,118,157,2,2,122,237,213,3685,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,24,2,2670,21,12,9,478,722,19,1728,105,5,52,116,32,187,13,510,14,22,54,12,16,626,5,725,829,12,174,236,1269,169,12,47,1428,56,73,120,58,24,6,356,22,21,6,55,478,5,1753,20,8,358,17,87,722,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,675,7,300,127,24,895,8,2623,89,753,2279,5,2,78,14,20,9,0
0,0,1,1235,433,74,6,78,93,18,248,20,13,191,264,15,2,5,2831,71,11,14,509,18,49,282,2021,2,109,9,1343,662,44,5,660,2,54,2,8,2,2,980,2021,2831,2783,372,2,9,43,2094,51,4,609,71,4,84,496,14,22,536,99,111,114,1512,8,838,2505,19,4,3797,116,1499,370,2445,6,835,229,5,706,978,228,93,14,20,427,3809,10,10,13,1610,14,4060,19,364,1398,21,73,12,66,2067,0
0,0,0,0,0,0,0,0,1,422,4,2929,323,944,6,184,2441,425,3190,2,34,15,1185,270,2,2312,2,12,184,76,2,4,1163,18,14,2,5,247,753,792,2,3226,19,742,2,5,2,2,17,35,2,378,11,1787,7,6,1058,3643,763,11,1335,3423,19,6,680,1191,57,329,3187,35,2,3400,7,2053,929,7,2,5,862,3946,5,753,1381,34,2,2,5,25,130,56,19,6,1562,2,2,143,4,2,7,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,3433,30,6,664,13,219,12,63,9,4078,11,2321,5,13,28,8,135,15,12,16,4,249,664,207,126,110,12,9,164,21,31,194,2866,39,4,454,8,4,130,37,70,824,103,14,1157,15,32,2,71,424,8,30,556,11,4,2,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,20,16,55,55,1501,5,55,55,2207,316,317,68,116,3080,33,344,5,484,2738,89,8,511,13,384,12,16,38,78,5,69,57,147,114,5,2,100,28,398,6,128,65,114,858,51,65,114,24,33,32,629,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,64,32,748,16,14,87,14,22,9,356,88,12,9,565,9,107,606,1409,65,5,109,4,105,11,14,22,26,1293,2,13,421,18,32,7,4,105,5,406,1626,649,11,4,20,495,950,4,307,748,5,342,1095,1222,748,1481,952,128,11,101,85,22,14,9,6,87,20,18,362,5,18,1473,37,181,6,356,2,1311,709,7,158,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,119,14,123,17,12,206,3015,19,1154,119,5,4030,73,49,211,119,45,38,52,67,6,123,121,32,4,105,157,73,295,5,36,1694,257,85,19,1161,45,82,55,52,8,2,1837,1171,2,11,6,699,217,17,13,28,64,110,90,11,1083,2,4,4183,7,4,293,105,951,4431,3509,5,1230,9,55,4751,8,4,311,14,9,6,123,25,28,8,106,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,16,4,249,2,20,2128,126,13,1201,1498,600,7,4,2,71,163,4,2,66,2067,5,4,2,1173,38,87,345,138,191,75,140,145,8,4,52,2,504,54,4,123,16,6,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,6,478,284,5,1015,1161,18,269,14,21,29,9,24,11,6,707,19,4,87,2,40,4745,5,2443,5,29,1037,2478,39,3776,3394,14,2,210,530,2,2376,4,123,245,4745,3892,15,986,11,27,365,5,177,2,19,294,29,697,29,100,2,13,161,754,923,4,4361,7,2,2,91,445,109,21,3394,287,178,4,2,327,8,67,4,2692,7,2,99,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,520,14,20,6,158,88,12,887,8,30,2,18,94,629,791,5,156,5,61,558,4,2,4,155,9,13,92,181,8,376,259,233,44,4,116,42,65,88,12,80,2457,4,20,21,13,80,386,15,25,140,730,8,129,2,2,208,150,5,851,12,92,859,3912,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,86,219,14,20,11,4,750,54,13,16,709,153,154,5,12,131,2,72,56,4,2,26,38,646,5,36,1483,123,970,11,6,2,2340,96,61,514,136,9,54,4,4771,380,6,2,2,23,2,7,2,33,6,3725,3756,14,9,31,1393,5,163,20,18,362,5,846,3109,196,412,2,717,2,5,4,360,7,4,1366,1
